model,fold_index,group,test_rows,mae_eV,mse_eV2,rmse_eV,r2,mae_nm,mse_nm2,rmse_nm
xgboost_original_params,1,Ba(AlS2)2,1,0.08308860778808613,0.006903716744162408,0.08308860778808613,,10.198811764545326,104.01576140862814,10.198811764545326
train_mean_baseline,1,Ba(AlS2)2,1,0.3976601123595507,0.15813356496181047,0.3976601123595507,,42.32478077597392,1791.3870677342516,42.32478077597392
train_median_baseline,1,Ba(AlS2)2,1,0.42849999999999966,0.1836122499999997,0.42849999999999966,,45.22170406156869,2045.0025182320978,45.22170406156869
xgboost_original_params,2,Ba(GaS2)2,1,0.1911311264038087,0.036531107480388694,0.1911311264038087,,24.034972501182608,577.6799031326042,24.034972501182608
train_mean_baseline,2,Ba(GaS2)2,1,0.38061235955056194,0.14486576824264624,0.38061235955056194,,40.298091475077,1623.9361765336737,40.298091475077
train_median_baseline,2,Ba(GaS2)2,1,0.41149999999999975,0.1693322499999998,0.41149999999999975,,43.19953868625953,1866.2001427056337,43.19953868625953
xgboost_original_params,3,Ba2Ca(BO3)2,1,0.17563875198364265,0.030848971198371534,0.17563875198364265,,15.429519464061457,238.07007089185134,15.429519464061457
train_mean_baseline,3,Ba2Ca(BO3)2,1,0.05360393258426921,0.0028733815884988785,0.05360393258426921,,5.0074995548608285,25.075051791931397,5.0074995548608285
train_median_baseline,3,Ba2Ca(BO3)2,1,0.02300000000000013,0.000529000000000006,0.02300000000000013,,2.130552930294698,4.539255788787324,2.130552930294698
xgboost_original_params,4,Ba2GdB2ClO6,1,0.0950004940032958,0.009025093860870241,0.0950004940032958,,9.809374391559572,96.22382595378473,9.809374391559572
train_mean_baseline,4,Ba2GdB2ClO6,1,0.10383707865168557,0.010782138902916334,0.10383707865168557,,10.132385032664729,102.66522645016822,10.132385032664729
train_median_baseline,4,Ba2GdB2ClO6,1,0.13549999999999995,0.018360249999999988,0.13549999999999995,,13.10729621971069,171.80121419124217,13.10729621971069
xgboost_original_params,5,Ba2LuB2ClO6,1,0.09486682319641115,0.008999714143379134,0.09486682319641115,,10.186111921391841,103.75687607512099,10.186111921391841
train_mean_baseline,5,Ba2LuB2ClO6,1,0.2662921348314611,0.07091150107309704,0.2662921348314611,,27.23746260777739,741.8793693100714,27.23746260777739
train_median_baseline,5,Ba2LuB2ClO6,1,0.2974999999999999,0.08850624999999993,0.2974999999999999,,30.169249817818354,910.1836345699328,30.169249817818354
xgboost_original_params,6,Ba2Mg(BO3)2,1,0.5722159862518312,0.3274311349221559,0.5722159862518312,,46.56241889415924,2168.058853275157,46.56241889415924
train_mean_baseline,6,Ba2Mg(BO3)2,1,0.5850926966292134,0.3423334636488447,0.5850926966292134,,47.779823495864775,2282.911533295992,47.779823495864775
train_median_baseline,6,Ba2Mg(BO3)2,1,0.5530000000000004,0.30580900000000044,0.5530000000000004,,44.761681962343516,2003.608172097989,44.761681962343516
xgboost_original_params,7,Ba2MgSi2O7,1,0.20108514022827162,0.040435233620623665,0.20108514022827162,,18.459179630617882,340.7413126354181,18.459179630617882
train_mean_baseline,7,Ba2MgSi2O7,1,0.16090449438202237,0.025890256312334266,0.16090449438202237,,14.606548918364865,213.35127130458582,14.606548918364865
train_median_baseline,7,Ba2MgSi2O7,1,0.13000000000000034,0.01690000000000009,0.13000000000000034,,11.701106273020912,136.91588801252934,11.701106273020912
xgboost_original_params,8,Ba2Si5N8,1,0.49195495796203614,0.24201968066342874,0.49195495796203614,,58.65936857619283,3440.9215217576393,58.65936857619283
train_mean_baseline,8,Ba2Si5N8,1,0.6303117977528094,0.39729296238637857,0.6303117977528094,,72.28283443365206,5224.808153762755,72.28283443365206
train_median_baseline,8,Ba2Si5N8,1,0.6604999999999999,0.4362602499999998,0.6604999999999999,,75.1180313749631,5642.71863764994,75.1180313749631
xgboost_original_params,9,Ba2SiO4,1,0.056031618118286275,0.003139542228953467,0.056031618118286275,,4.922037204838205,24.226450245811485,4.922037204838205
train_mean_baseline,9,Ba2SiO4,1,0.16892696629213466,0.028536319940664,0.16892696629213466,,15.302494257772025,234.1663305091458,15.302494257772025
train_median_baseline,9,Ba2SiO4,1,0.13800000000000034,0.019044000000000096,0.13800000000000034,,12.394920878491234,153.6340635840579,12.394920878491234
xgboost_original_params,10,Ba2SiS4,1,0.015158197402953988,0.00022977094850692103,0.015158197402953988,,1.7677656607242511,3.124995431235848,1.7677656607242511
train_mean_baseline,10,Ba2SiS4,1,0.3645674157303369,0.1329094006122963,0.3645674157303369,,38.4099262077512,1475.3224312848922,38.4099262077512
train_median_baseline,10,Ba2SiS4,1,0.39549999999999974,0.1564202499999998,0.39549999999999974,,41.31563134035389,1706.9813930520324,41.31563134035389
xgboost_original_params,11,Ba2YB2ClO6,1,0.14131954956054704,0.019971215087995913,0.14131954956054704,,14.246545957466026,202.96407171819158,14.246545957466026
train_mean_baseline,11,Ba2YB2ClO6,1,0.18005056179775325,0.03241820480368656,0.18005056179775325,,17.95670667973468,322.44331478202804,17.95670667973468
train_median_baseline,11,Ba2YB2ClO6,1,0.21150000000000002,0.04473225000000001,0.21150000000000002,,20.91138551404879,437.2860441171695,20.91138551404879
xgboost_original_params,12,Ba2ZnS3,1,0.13116607856750484,0.017204540166776854,0.13116607856750484,,19.529619643462013,381.4060434182973,19.529619643462013
train_mean_baseline,12,Ba2ZnS3,1,0.6664129213483152,0.4441061817399957,0.6664129213483152,,77.35265950763613,5983.4339329042905,77.35265950763613
train_median_baseline,12,Ba2ZnS3,1,0.6964999999999999,0.48511224999999986,0.6964999999999999,,80.17828021585512,6428.556618372186,80.17828021585512
xgboost_original_params,13,Ba2ZnSi2O7,1,0.19005520629882833,0.036120981441290195,0.19005520629882833,,18.02362431610129,324.85103348795775,18.02362431610129
train_mean_baseline,13,Ba2ZnSi2O7,1,0.09481179775280912,0.00898927699311958,0.09481179775280912,,9.228124364400003,85.15827928483296,9.228124364400003
train_median_baseline,13,Ba2ZnSi2O7,1,0.12650000000000006,0.016002250000000013,0.12650000000000006,,12.205431646121554,148.9725616681455,12.205431646121554
xgboost_original_params,14,Ba3(PO4)2,1,0.2624065742492676,0.0688572102092364,0.2624065742492676,,20.66285373871574,426.95352462755903,20.66285373871574
train_mean_baseline,14,Ba3(PO4)2,1,0.22307865168539331,0.04976408483777303,0.22307865168539331,,19.924491343821103,396.98535531000203,19.924491343821103
